MoRTH_UID,Location_Stretch_Name,State,Road_Number,District,Police_Station,Latitude,Longitude,Chainage_Start_km,Chainage_End_km,Accidents_2016,Accidents_2017,Accidents_2018,Accidents_2019,Fatalities_2016,Fatalities_2017,Fatalities_2018,Fatalities_2019,Total_Fatalities_2016_2019,Source
PB-(02)-141,Eastman Caste & Forge Ltd,PB,NH 44,Ludhiana,Sahnewal,30.849951,75.950386,304.402,304.902,7,5,2,5,10,5,2,5,22,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-142,Goyal Jeep Showroom,PB,NH 44,Ludhiana,Sahnewal,30.858156,75.937076,305.967,306.467,5,0,1,2,4,0,1,1,6,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-143,Giaspura Flyover,PB,NH 44,Ludhiana,Division 6/Sahnewal,30.878920,75.899100,310.272,310.772,3,3,2,3,2,3,2,1,8,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-144,Red Mango Restaurant,PB,NH 44,Ludhiana,Sahnewal,30.822675,75.993690,299.271,299.771,1,3,2,1,1,3,0,1,5,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-145,Gur. Baba Bagga Singh Basti Jodhewal,PB,NH 44,Ludhiana,Jodhewal,30.932633,75.867506,317.409,317.909,2,1,3,3,1,1,2,2,6,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-146,Dhandari Kalan Bus/Railway Station,PB,NH 44,Ludhiana,Sahnewal,30.873898,75.909266,309.150,309.650,7,8,2,2,6,7,1,2,16,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-147,HP Petrol Station Industrial Area-A,PB,NH 44,Ludhiana,Division 6,30.904826,75.881686,313.962,314.462,3,0,2,1,2,0,2,1,5,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-148,Oswal Woollen Mills,PB,NH 44,Ludhiana,Division 6,30.881451,75.894491,310.792,311.292,6,0,1,1,3,0,1,1,5,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-149,Hanuman Mandir Sherpur Chowk,PB,NH 44,Ludhiana,Division 6,30.882948,75.890973,311.168,311.668,3,3,0,6,3,3,0,5,11,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-150,Karbara Chowk,PB,NH 44,Ludhiana,Salem Tabri/Jodhewal,30.936781,75.845943,319.536,320.036,4,2,1,2,2,2,1,2,7,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-151,Transport Nagar,PB,NH 44,Ludhiana,Division 6,30.896951,75.883835,313.057,313.557,3,2,2,2,2,2,2,1,7,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-152,Dhandari Flyover,PB,NH 44,Ludhiana,Sahnewal,30.865821,75.924368,307.449,307.949,3,6,10,5,3,5,8,6,22,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-153,Swani Motors,PB,NH 44,Ludhiana,Sahnewal,30.876673,75.903458,309.785,310.285,3,4,3,1,3,5,2,1,11,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-154,Sahnewal Bridge,PB,NH 44,Ludhiana,Sahnewal,30.836500,75.973268,301.754,302.254,7,10,6,1,8,10,4,1,23,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-155,Greenland School,PB,NH 44,Ludhiana,Salem Tabri,30.941846,75.833163,321.034,321.534,9,6,2,8,5,4,2,6,17,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-156,Bhogal Cycles Dhandari Kalan,PB,NH 44,Ludhiana,Sahnewal,30.868538,75.919556,307.999,308.499,3,7,3,3,3,4,3,3,13,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-157,SEL Textiles,PB,NH 44,Ludhiana,Sahnewal,30.862483,75.929625,306.825,307.325,3,4,1,2,3,4,1,2,10,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-158,Mohandai Oswal Hospital,PB,NH 44,Ludhiana,Division 6,30.889726,75.884218,312.255,312.755,2,1,4,5,2,0,2,3,7,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-159,Metro Mart Mitran da Dhaba Bhattian,PB,NH 44,Ludhiana,Salem Tabri,30.953118,75.824633,322.527,323.027,4,3,3,2,2,3,3,2,10,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-160,GMT School Jalandhar Bypass,PB,NH 44,Ludhiana,Salem Tabri,30.938227,75.836070,320.546,321.046,10,5,0,9,8,2,0,4,14,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-161,Shivpuri Chowk,PB,NH 44,Ludhiana,Jodhewal,30.935312,75.857210,318.439,318.939,3,2,2,3,3,2,1,3,9,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-162,Gurudwara Reru Sahib Sahnewal,PB,NH 44,Ludhiana,Sahnewal,30.839568,75.968466,302.325,302.825,5,3,0,2,3,3,0,2,8,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-163,Tibba Cut near Tajpur Chowk,PB,NH 44,Ludhiana,Division 3/Jodhewal,30.917496,75.876793,315.442,315.942,8,7,3,5,6,7,3,4,20,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-164,Laddowal Chowk,PB,NH 44,Ludhiana,Laddowal,30.977913,75.792620,327.132,327.632,2,4,0,3,2,4,0,2,8,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-165,Kaddian T-Point,PB,NH 44,Ludhiana,Salem Tabri,30.966992,75.813870,324.376,324.876,1,4,3,1,1,3,3,1,8,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-166,Hardy's World,PB,NH 44,Ludhiana,Laddowal/Salem Tabri,30.975441,75.801571,326.014,326.514,1,4,2,8,1,4,1,6,12,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-167,Sherpur Chowk,PB,NH 44,Ludhiana,Division 6/Moti Nagar,30.885480,75.886941,311.641,312.141,1,8,2,2,0,7,2,2,11,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-168,Zimidaran da Dhaba,PB,NH 44,Ludhiana,Sahnewal,30.847011,75.955658,303.803,304.303,3,2,1,4,3,1,1,2,7,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-169,Jassian Cut T-Point,PB,NH 44,Ludhiana,Salem Tabri,30.946235,75.830001,321.608,322.108,2,4,1,4,2,4,1,4,11,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-170,UCO Bank Jugiana,PB,NH 44,Ludhiana,Sahnewal,30.855238,75.941763,305.414,305.914,3,3,4,1,4,3,4,1,12,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-171,Goyal Hyundai Kanganwal,PB,NH 44,Ludhiana,Sahnewal,30.860074,75.933672,306.355,306.855,1,3,1,2,1,3,1,1,6,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-172,Kailash Nagar Chowk,PB,NH 44,Ludhiana,Jodhewal,30.934071,75.862436,317.921,318.421,7,6,3,4,6,5,2,2,15,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-173,Basti Jodhewal Chowk,PB,NH 44,Ludhiana,Jodhewal/Division 3,30.929865,75.871606,316.901,317.401,7,1,7,5,6,0,5,5,16,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-174,Sahnewal Khurd,PB,NH 44,Ludhiana,Sahnewal,30.827151,75.987421,300.049,300.549,0,1,5,0,0,1,2,0,3,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
