law_id,mv_act_section,act_name,category,section_full_title,description,applicable_to,penalty_type,fine_min_inr,fine_max_inr,imprisonment,notes,effective_from,state,chatbot_keywords
LAW-014,192,Motor Vehicles Act 1988,Vehicle Registration,Using vehicle without registration,Driving or causing to drive an unregistered motor vehicle on a public road,All vehicles,Fine + Imprisonment,2000,5000,Up to 1 year (repeat),First offence Rs.2000–5000; repeat offence includes imprisonment,01-09-2019,Tamil Nadu / India,"RC,registration,unregistered vehicle"
LAW-015,192A,Motor Vehicles Act 1988,Vehicle Registration,Using vehicle without permit,Using a transport vehicle (goods/passenger) without a valid permit on a public road,Transport vehicles,Fine + Imprisonment,10000,10000,None,"Permit must match route, purpose, and category of vehicle",01-09-2019,Tamil Nadu / India,"RC,registration,unregistered vehicle"
LAW-016,206,Motor Vehicles Act 1988,Vehicle Registration,Power to impound documents,"Police officer can seize driving licence, RC book, insurance, or permit when violation is detected",All vehicles,Administrative action,0,0,None,Documents held pending appearance before licensing authority or court,01-07-1989,Tamil Nadu / India,"insurance,third party,uninsured; licence,license,DL,driving licence,no licence; RC,registration,unregistered vehicle"
LAW-017,146,Motor Vehicles Act 1988,Vehicle Insurance,Necessity for insurance against third-party risk,Every motor vehicle used in a public place must have a valid third-party insurance policy,All vehicles,Informational,0,0,None,Violation penalised under Section 196; foundational insurance requirement,01-07-1989,Tamil Nadu / India,"insurance,third party,uninsured"
LAW-018,196,Motor Vehicles Act 1988,Vehicle Insurance,Using vehicle without insurance,Driving or allowing to drive a motor vehicle without a valid third-party insurance certificate,All vehicles,Fine + Imprisonment,2000,2000,Up to 3 months,Revised from Rs.1000 to Rs.2000 in 2019; repeat offence: Rs.4000 or 3 months,01-09-2019,Tamil Nadu / India,"insurance,third party,uninsured"
LAW-019,183,Motor Vehicles Act 1988,Road Safety - Speeding,Driving at excessive speed,Driving a motor vehicle at a speed exceeding the maximum speed limit prescribed for that road or vehicle type,All vehicles,Fine,1000,2000,None,LMV: Rs.1000; MMV: Rs.2000; expressway violations higher; repeat offence licence suspension,01-09-2019,Tamil Nadu / India,"speed,overspeeding,fast driving,speed limit"
LAW-020,184,Motor Vehicles Act 1988,Road Safety - Dangerous Driving,Driving dangerously / using mobile phone while driving,Rash or dangerous driving; using handheld mobile phone while driving; any act endangering public safety,All vehicles,Fine + Imprisonment,1000,10000,"6 months (1st), 2 years (repeat)","Mobile phone: Rs.1000 first offence, Rs.10000 repeat; dangerous driving: up to Rs.5000",01-09-2019,Tamil Nadu / India,"mobile,phone,distracted driving,handheld"
LAW-021,185,Motor Vehicles Act 1988,Road Safety - Drunk Driving,Driving under influence of alcohol or drugs,"Driving with blood alcohol content exceeding 30mg per 100ml of blood, or under influence of drugs",All vehicles,Fine + Imprisonment,10000,15000,"6 months (1st), 2 years (repeat)","Breath analyser test; licence suspended on conviction; Rs.10000 first, Rs.15000 repeat",01-09-2019,Tamil Nadu / India,"drunk,alcohol,DUI,DWI,breathalyser,BAC"
LAW-022,186,Motor Vehicles Act 1988,Road Safety - Dangerous Driving,Driving when mentally or physically unfit,Driving a vehicle when the driver knows they are suffering from a disease or disability making driving dangerous,All vehicles,Fine,1000,1000,None,"Includes driving when fatigued, ill, or on sedative medication",01-07-1989,Tamil Nadu / India,road safety - dangerous driving
LAW-023,189,Motor Vehicles Act 1988,Road Safety - Racing,Racing and trials of speed on public roads,"Organising, participating in, or promoting illegal vehicle racing or speed competitions on public roads",All vehicles,Fine + Imprisonment,5000,10000,Up to 1 year,Rs.5000 and/or 1 month first offence; Rs.10000 and/or 1 year repeat,01-09-2019,Tamil Nadu / India,"racing,speed trial,drag race; speed,overspeeding,fast driving,speed limit"
LAW-024,128,Motor Vehicles Act 1988,Road Safety - Safety Equipment,Safety measures for drivers and pillion riders,Triple riding on two-wheelers; pillion rider not seated properly; child below 4 years without safety harness,Two-wheeler,Fine,1000,1000,None,Child safety harness mandatory for children below 4 years; amended 2019,01-09-2019,Tamil Nadu / India,road safety - safety equipment
LAW-025,129,Motor Vehicles Act 1988,Road Safety - Safety Equipment,Wearing of protective headgear (helmet),Driver or pillion rider on a two-wheeler not wearing a helmet conforming to BIS standards,Two-wheeler,Fine + Licence suspension,1000,1000,None,Helmet must be ISI-marked; licence may be suspended for 3 months on repeat violation,01-09-2019,Tamil Nadu / India,"helmet,headgear,two-wheeler safety"
LAW-026,194B,Motor Vehicles Act 1988,Road Safety - Safety Equipment,Seat belt,Driver or any occupant of a motor vehicle travelling without wearing a seat belt as prescribed,LMV/Car,Fine,1000,1000,None,Applicable to all seats including rear; strictly enforced post-2019,01-09-2019,Tamil Nadu / India,"seat belt,seatbelt,safety belt"
LAW-027,194C,Motor Vehicles Act 1988,Road Safety - Safety Equipment,Use of handheld communication device while driving,Using a mobile phone or any handheld communication device while operating a motor vehicle,All vehicles,Fine,1000,5000,None,First offence Rs.1000; repeat Rs.5000–10000; hands-free devices permitted,01-09-2019,Tamil Nadu / India,"mobile,phone,distracted driving,handheld"
LAW-028,194D,Motor Vehicles Act 1988,Road Safety - Safety Equipment,Wearing of seat belt — penalty provision,Specific penalty provision for seat belt violation; supplements Section 194B,LMV/Car,Fine,1000,1000,None,Companion provision to 194B; same fine structure,01-09-2019,Tamil Nadu / India,"seat belt,seatbelt,safety belt"
LAW-029,194E,Motor Vehicles Act 1988,Road Safety - Emergency Vehicles,Not giving way to emergency vehicles,"Failing to give way to ambulance, fire brigade, police, or other emergency vehicles on duty",All vehicles,Fine,10000,10000,None,New section under MV Amendment 2019; strictly enforced,01-09-2019,Tamil Nadu / India,"ambulance,emergency vehicle,fire brigade"
LAW-030,197,Motor Vehicles Act 1988,Road Safety - Emergency,Taking vehicle without authority,Taking a motor vehicle without the owner's consent; joy-riding with another's vehicle,All vehicles,Fine + Imprisonment,5000,5000,Up to 3 months,Separate from theft; vehicle taken temporarily without consent,01-07-1989,Tamil Nadu / India,"ambulance,emergency vehicle,fire brigade"
LAW-031,190,Motor Vehicles Act 1988,Vehicle Condition & Pollution,Using vehicle in unsafe condition / no PUC certificate,"Using a vehicle without a valid Pollution Under Control (PUC) certificate; defective brakes, lights, horn, tyres, or mirrors",All vehicles,Fine + Imprisonment,1000,10000,Up to 6 months (repeat),No PUC: up to Rs.10000; defective parts: Rs.500–1000 per item; vehicle may be impounded,01-09-2019,Tamil Nadu / India,"pollution,PUC,emission,smoke,noise"
LAW-032,190(2),Motor Vehicles Act 1988,Vehicle Condition & Pollution,Use of vehicle emitting excessive smoke or noise,"Operating a vehicle that emits smoke, fumes, or noise beyond prescribed standards",All vehicles,Fine,1000,10000,None,"PUC certificate must be renewed every 6 months for old vehicles, yearly for new",01-09-2019,Tamil Nadu / India,"pollution,PUC,emission,smoke,noise"
LAW-033,177,Motor Vehicles Act 1988,Vehicle Condition & Pollution,No reflectors or inadequate lighting,"Driving without prescribed headlights, tail lights, indicators, or reflectors at night",All vehicles,Fine,500,500,None,Enforced under general penalty provision; especially for slow-moving and goods vehicles,01-07-1989,Tamil Nadu / India,"pollution,PUC,emission,smoke,noise"
LAW-034,182A,Motor Vehicles Act 1988,Vehicle Condition & Pollution,Vehicle not meeting safety and emission standards,Driving or selling a vehicle that does not comply with prescribed safety or emission standards,All vehicles,Fine + Imprisonment,1000,5000,Up to 6 months,"Covers illegally modified vehicles, removed catalytic converters, altered silencers",01-09-2019,Tamil Nadu / India,"pollution,PUC,emission,smoke,noise"
LAW-035,194,Motor Vehicles Act 1988,Overloading,Driving vehicle exceeding permissible weight,Goods vehicle carrying load exceeding the registered gross vehicle weight or axle load,HMV/Truck/Goods vehicle,Fine,2000,20000,None,Rs.2000 per excess tonne; maximum Rs.20000; offending vehicle detained until excess load removed,01-09-2019,Tamil Nadu / India,"overload,overloading,excess weight,excess passengers"
LAW-036,194A,Motor Vehicles Act 1988,Overloading,Overloading of passengers,Carrying passengers beyond the seating or standing capacity specified in the vehicle permit,All vehicles,Fine,1000,2000,None,Fine per extra passenger; conductor and driver both liable,01-09-2019,Tamil Nadu / India,"overload,overloading,excess weight,excess passengers"
LAW-037,132,Motor Vehicles Act 1988,Road Accident,Duty of driver to stop and report accident,"Driver involved in an accident must stop the vehicle, render assistance to injured, and report to nearest police",All vehicles,Fine + Imprisonment,0,5000,Up to 3 months,Failure to stop or report is a criminal offence; Good Samaritan law protects bystanders who help,01-07-1989,Tamil Nadu / India,"accident,crash,collision,hit and run,fatality"
LAW-038,134,Motor Vehicles Act 1988,Road Accident,Duty of owner of motor vehicle — accident compensation,Owner must provide all required information to police and third-party claimants following an accident,All vehicles,Administrative,0,0,None,Enables insurance claims; owner must not tamper with evidence,01-07-1989,Tamil Nadu / India,"accident,crash,collision,hit and run,fatality"
LAW-039,161,Motor Vehicles Act 1988,Road Accident,Hit and run compensation scheme,Victims of hit-and-run accidents (driver unknown) entitled to compensation from Solatium Fund,All vehicles,Compensation to victim,0,0,None,"Death: Rs.2,00,000; Grievous hurt: Rs.50,000; claim filed with police or insurance authority",01-09-2019,Tamil Nadu / India,"accident,crash,collision,hit and run,fatality"
LAW-040,304A,Indian Penal Code 1860,Road Accident,Causing death by negligence,Causing death of a person by rash or negligent driving not amounting to culpable homicide,All vehicles,Fine + Imprisonment,0,0,Up to 2 years,Most common IPC charge in fatal road accidents; often combined with MV Act sections,01-01-1860,Tamil Nadu / India,"accident,crash,collision,hit and run,fatality"
LAW-041,279,Indian Penal Code 1860,Road Accident,Rash driving or riding on a public way,Driving rashly or negligently on a public road endangering human life or causing hurt or injury,All vehicles,Fine + Imprisonment,0,1000,Up to 6 months,Charged alongside MV Act Section 184; up to Rs.1000 fine or imprisonment or both,01-01-1860,Tamil Nadu / India,"accident,crash,collision,hit and run,fatality"
LAW-042,337,Indian Penal Code 1860,Road Accident,Causing hurt by act endangering life,Causing hurt (minor injury) to another person due to rash or negligent act including driving,All vehicles,Fine + Imprisonment,0,500,Up to 6 months,Applied in non-fatal injury road accidents,01-01-1860,Tamil Nadu / India,"minor,juvenile,underage driving; accident,crash,collision,hit and run,fatality"
LAW-043,338,Indian Penal Code 1860,Road Accident,Causing grievous hurt by act endangering life,Causing grievous hurt (serious injury) to another person due to rash or negligent driving,All vehicles,Fine + Imprisonment,0,1000,Up to 2 years,"Applied in serious injury accidents; grievous hurt includes fractures, permanent disability",01-01-1860,Tamil Nadu / India,"accident,crash,collision,hit and run,fatality"
LAW-044,8,National Highways Act 1956,Road Infrastructure,"Control of building, fences etc. near National Highway","No construction, fence, tree planting, or obstruction within 20m of NH boundary without permission",Land owners / contractors,Fine,0,0,None,NHAI enforces; violations require demolition at owner's cost,01-01-1956,Tamil Nadu / India,road infrastructure
LAW-045,3A,Tamil Nadu Highways Act 2001,Road Infrastructure,Protection of State Highways,"Prohibition on encroachment, damage, or unauthorised construction along State Highways in Tamil Nadu",Land owners / public,Fine + Demolition,0,0,None,"Enforced by Highways Department, Tamil Nadu; covers all state highways",01-01-2002,Tamil Nadu / India,road infrastructure
LAW-046,32,Tamil Nadu District Municipalities Act 1920,Road Infrastructure,Penalty for damaging or obstructing public roads,"Digging, breaking, or obstructing any public road within municipal limits without authorisation",Contractors / public,Fine,500,5000,None,Municipality issues stop-work notice; restoration at violator's cost,01-01-1920,Tamil Nadu / India,road infrastructure
LAW-047,Rule-Urban,Tamil Nadu Motor Vehicles Rules,Speed Limits,Speed limits in urban / city areas,Maximum permissible speed in city and urban areas: LMV 50 kmph; two-wheelers 40 kmph; buses/trucks 40 kmph,All vehicles,Fine (under S.183),1000,2000,None,"Speed limit signs mandatory; AI cameras deployed in Chennai, Coimbatore, Madurai, Trichy",01-09-2019,Tamil Nadu / India,"speed,overspeeding,fast driving,speed limit"
LAW-048,Rule-Highway,Tamil Nadu Motor Vehicles Rules,Speed Limits,Speed limits on State and National Highways,Cars/LMV: 100 kmph; LCV: 80 kmph; Buses: 80 kmph; Trucks/HMV: 60 kmph; Two-wheelers: 80 kmph,All vehicles,Fine (under S.183),1000,2000,None,"Expressways (Chennai-Bangalore, Chennai Bypass): higher limits with variable messaging signs",01-09-2019,Tamil Nadu / India,"speed,overspeeding,fast driving,speed limit"
LAW-049,Rule-School,Tamil Nadu Motor Vehicles Rules,Speed Limits,Speed limits near schools and hospitals,Maximum 25 kmph within 100 metres of school buildings; 30 kmph near hospitals,All vehicles,Double fine (under S.210B),2000,4000,None,Speed breakers mandatory; school zone marking required; double fine provision applies,01-09-2019,Tamil Nadu / India,"school zone,school area,children; speed,overspeeding,fast driving,speed limit"
LAW-050,Rule-Night,Tamil Nadu Motor Vehicles Rules,Speed Limits,Night driving restrictions for heavy vehicles,Heavy motor vehicles restricted from operating in Chennai city limits between 09:00 AM and 10:00 PM on weekdays,HMV/Truck,Fine,1000,2000,None,Tamil Nadu government order for congestion management; exemptions for essential goods,01-01-2015,Tamil Nadu / India,"speed,overspeeding,fast driving,speed limit"
LAW-051,134A,Motor Vehicles Act 1988,Good Samaritan,Protection of Good Samaritans,Any person rendering emergency assistance to road accident victim shall not be liable for any civil or criminal action,Public / bystanders,Protection (no penalty),0,0,None,Supreme Court guidelines implemented; Good Samaritan cannot be detained by police or hospital,01-09-2019,Tamil Nadu / India,"ambulance,emergency vehicle,fire brigade; accident,crash,collision,hit and run,fatality"
LAW-052,210B,Motor Vehicles Act 1988,Special Penalties,Enhanced penalty for offences committed in certain areas or conditions,"Double the original fine if offence is committed in school zone, hospital zone, or while under influence of alcohol/drugs",All vehicles,Double fine,0,0,None,Multiplier clause; base fine doubled automatically; applies over applicable section,01-09-2019,Tamil Nadu / India,"school zone,school area,children"
LAW-053,210C,Motor Vehicles Act 1988,Special Penalties,Penalty for abetment of offences,"Any person who aids, abets, or induces another to commit a motor vehicle offence is liable equally",All persons,Fine equal to original offence,0,0,None,"Applies to fleet owners, managers, and dispatchers who encourage violations",01-09-2019,Tamil Nadu / India,special penalties
LAW-054,66,Motor Vehicles Act 1988,Commercial Vehicle,Necessity for permit for transport vehicles,"No transport vehicle (taxi, auto, bus, goods lorry) shall be used in a public place without a valid permit",Transport vehicles,Informational,0,0,None,"Permits: Stage Carriage, Contract Carriage, Goods Carriage; issued by RTA Tamil Nadu",01-07-1989,Tamil Nadu / India,commercial vehicle
LAW-055,192A,Motor Vehicles Act 1988,Commercial Vehicle,Using vehicle without permit,"Operating a transport vehicle without valid permit, or on route/purpose not covered by permit",Transport vehicles,Fine + Imprisonment,10000,10000,None,"Vehicle seized; Rs.10000 fine; permit must match vehicle type, route, and load",01-09-2019,Tamil Nadu / India,commercial vehicle
LAW-056,193,Motor Vehicles Act 1988,Commercial Vehicle,Failure to surrender suspended or cancelled certificate of registration,Owner failing to surrender RC book when registration is suspended or cancelled by authority,All vehicles,Fine,5000,5000,None,RC cancelled on court order or on scrapping of vehicle,01-07-1989,Tamil Nadu / India,"RC,registration,unregistered vehicle"
LAW-057,Noise Rule 2000,Environment Protection Act / CPCB Rules,Environment & Pollution,Noise pollution limits for vehicles,"Vehicle horn, exhaust, or engine noise must not exceed prescribed decibel limits (e.g. 80 dB for cars at 7.5m)",All vehicles,Fine (under MV Act S.190),1000,10000,None,CPCB and Tamil Nadu Pollution Control Board enforce; modified silencers prohibited,01-01-2000,Tamil Nadu / India,"pollution,PUC,emission,smoke,noise"
LAW-058,BSVI,Central Motor Vehicles Rules 1989,Environment & Pollution,Bharat Stage VI (BS6) emission norms compliance,All new vehicles sold after April 2020 must comply with BS6 emission standards; BS4 vehicles cannot be re-registered,All new vehicles,Administrative / Not allowed to operate,0,0,None,Tamil Nadu RTO enforces during registration; older non-compliant vehicles face deregistration,01-04-2020,Tamil Nadu / India,"pollution,PUC,emission,smoke,noise"
LAW-059,PUC,Central Motor Vehicles Rules 1989 / Rule 115,Environment & Pollution,Pollution Under Control (PUC) certificate requirement,Every vehicle must carry a valid PUC certificate obtained from authorised testing centre,All vehicles,Fine (under MV Act S.190),1000,10000,None,Renewal: 6 months for vehicles older than 15 years; yearly for others; checked at checkposts,01-07-1989,Tamil Nadu / India,"pollution,PUC,emission,smoke,noise"
LAW-060,S14-MRT,Tamil Nadu Road Safety Act 2012 / MV Act,Pedestrian Safety,Failure to yield to pedestrians at zebra crossing,Vehicle driver must stop and give way to pedestrians using a marked pedestrian crossing or zebra crossing,All vehicles,Fine,1000,1000,None,Enforced under general provisions; pedestrian right-of-way strictly enforced in Chennai since 2022,01-01-2012,Tamil Nadu / India,"pedestrian,zebra crossing,footpath"
LAW-061,S7-SchoolZone,Tamil Nadu Motor Vehicles Rules,Pedestrian Safety,Speed and safety rules in school zones,Speed limit 25 kmph; no honking within 100m; stop for school buses; follow traffic warden instructions,All vehicles,Fine (double under S.210B),2000,4000,None,School zone signs mandatory; applies during school hours (7AM–9AM and 3PM–5PM),01-01-2015,Tamil Nadu / India,"pedestrian,zebra crossing,footpath; school zone,school area,children; speed,overspeeding,fast driving,speed limit"
LAW-062,GO-Ms-2024,Tamil Nadu Government Order,State Traffic Rules,Tamil Nadu enhanced traffic enforcement — December 2024,Revised fines effective 1 December 2024; strict enforcement via AI cameras in 20+ cities; e-challan mandatory,All vehicles,State order,0,0,None,"GO issued by Transport Department TN; covers helmet, signal, overspeeding, mobile use",01-12-2024,Tamil Nadu / India,state traffic rules
LAW-063,GO-HeavyVehicle,Tamil Nadu Government Order,State Traffic Rules,Heavy vehicle movement restrictions in Chennai,Trucks and HMV restricted from Chennai city roads between 9:00 AM and 10:00 PM on weekdays,HMV/Trucks,Fine,1000,5000,None,"Exemptions: hospital supplies, emergency goods; enforced at city entry checkpoints",01-01-2015,Tamil Nadu / India,state traffic rules
LAW-064,GO-AutoRickshaw,Tamil Nadu Government Order,State Traffic Rules,Auto-rickshaw meter and route rules,Auto-rickshaws must use calibrated meters; refusing fare or taking wrong routes punishable,Auto-rickshaw,Fine,500,1000,None,RTO and police jointly enforce; complaints via TN police app or 100,01-01-2010,Tamil Nadu / India,state traffic rules
