state,district,city_or_zone,offence,fine_amount,fine_range_min,fine_range_max,mv_act_section,vehicle_type,enforcement_type,source_url,source_type,last_verified_date
Tamil Nadu,Ariyalur,Ariyalur,No reflector/light on vehicle,500,500,500,177,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Ariyalur,Not giving way to ambulance,10000,10000,10000,194E,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,No helmet,1000,1000,1000,129/177,Two-wheeler,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Signal jumping,1000,1000,1000,119/177,All vehicles,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Overspeeding (LMV),1000,1000,2000,183,LMV,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Overspeeding (MMV),2000,2000,2000,183,MMV,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Driving without licence,5000,5000,5000,181,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,No insurance,2000,2000,2000,196,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Drunk driving (1st offence),10000,10000,10000,185,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Drunk driving (repeat offence),15000,15000,15000,185,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,No seat belt,1000,1000,1000,194B,LMV,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Using mobile while driving (1st),1000,1000,1000,184,All vehicles,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Using mobile while driving (repeat),10000,10000,10000,184,All vehicles,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Wrong parking,500,500,1500,122/177,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Triple riding,1000,1000,1000,128/177,Two-wheeler,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,No PUC certificate,10000,1000,10000,190(2),All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Rash driving (1st offence),1000,1000,5000,184,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Rash driving (repeat offence),10000,5000,10000,184,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Driving without registration,5000,2000,5000,192,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Overloading passengers,1000,1000,2000,194A,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Loud/illegal horn,1000,500,1000,190(2)/177,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Obstructing emergency vehicle,10000,10000,10000,194E,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Illegal automobile race (1st),5000,5000,5000,189,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Illegal automobile race (repeat),10000,10000,10000,189,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Minor driving (guardian liable),25000,25000,25000,199A,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Overloading of goods vehicle,20000,2000,20000,194(1),HMV/Truck,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,No reflector/light on vehicle,500,500,500,177,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Andimadam,Not giving way to ambulance,10000,10000,10000,194E,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,No helmet,1000,1000,1000,129/177,Two-wheeler,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Signal jumping,1000,1000,1000,119/177,All vehicles,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Overspeeding (LMV),1000,1000,2000,183,LMV,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Overspeeding (MMV),2000,2000,2000,183,MMV,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Driving without licence,5000,5000,5000,181,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,No insurance,2000,2000,2000,196,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Drunk driving (1st offence),10000,10000,10000,185,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Drunk driving (repeat offence),15000,15000,15000,185,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,No seat belt,1000,1000,1000,194B,LMV,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Using mobile while driving (1st),1000,1000,1000,184,All vehicles,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Using mobile while driving (repeat),10000,10000,10000,184,All vehicles,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Wrong parking,500,500,1500,122/177,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Triple riding,1000,1000,1000,128/177,Two-wheeler,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,No PUC certificate,10000,1000,10000,190(2),All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Rash driving (1st offence),1000,1000,5000,184,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Rash driving (repeat offence),10000,5000,10000,184,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Driving without registration,5000,2000,5000,192,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Overloading passengers,1000,1000,2000,194A,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Loud/illegal horn,1000,500,1000,190(2)/177,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Obstructing emergency vehicle,10000,10000,10000,194E,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Illegal automobile race (1st),5000,5000,5000,189,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Illegal automobile race (repeat),10000,10000,10000,189,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Minor driving (guardian liable),25000,25000,25000,199A,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Overloading of goods vehicle,20000,2000,20000,194(1),HMV/Truck,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,No reflector/light on vehicle,500,500,500,177,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Udayarpalayam,Not giving way to ambulance,10000,10000,10000,194E,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,No helmet,1000,1000,1000,129/177,Two-wheeler,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Signal jumping,1000,1000,1000,119/177,All vehicles,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Overspeeding (LMV),1000,1000,2000,183,LMV,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Overspeeding (MMV),2000,2000,2000,183,MMV,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Driving without licence,5000,5000,5000,181,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,No insurance,2000,2000,2000,196,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Drunk driving (1st offence),10000,10000,10000,185,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Drunk driving (repeat offence),15000,15000,15000,185,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,No seat belt,1000,1000,1000,194B,LMV,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Using mobile while driving (1st),1000,1000,1000,184,All vehicles,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Using mobile while driving (repeat),10000,10000,10000,184,All vehicles,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Wrong parking,500,500,1500,122/177,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Triple riding,1000,1000,1000,128/177,Two-wheeler,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,No PUC certificate,10000,1000,10000,190(2),All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Rash driving (1st offence),1000,1000,5000,184,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Rash driving (repeat offence),10000,5000,10000,184,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Driving without registration,5000,2000,5000,192,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Overloading passengers,1000,1000,2000,194A,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Loud/illegal horn,1000,500,1000,190(2)/177,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Obstructing emergency vehicle,10000,10000,10000,194E,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Illegal automobile race (1st),5000,5000,5000,189,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Illegal automobile race (repeat),10000,10000,10000,189,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Minor driving (guardian liable),25000,25000,25000,199A,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Overloading of goods vehicle,20000,2000,20000,194(1),HMV/Truck,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,No reflector/light on vehicle,500,500,500,177,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Sendurai,Not giving way to ambulance,10000,10000,10000,194E,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,No helmet,1000,1000,1000,129/177,Two-wheeler,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Signal jumping,1000,1000,1000,119/177,All vehicles,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Overspeeding (LMV),1000,1000,2000,183,LMV,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Overspeeding (MMV),2000,2000,2000,183,MMV,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Driving without licence,5000,5000,5000,181,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,No insurance,2000,2000,2000,196,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Drunk driving (1st offence),10000,10000,10000,185,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Drunk driving (repeat offence),15000,15000,15000,185,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,No seat belt,1000,1000,1000,194B,LMV,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Using mobile while driving (1st),1000,1000,1000,184,All vehicles,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Using mobile while driving (repeat),10000,10000,10000,184,All vehicles,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Wrong parking,500,500,1500,122/177,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Triple riding,1000,1000,1000,128/177,Two-wheeler,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,No PUC certificate,10000,1000,10000,190(2),All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Rash driving (1st offence),1000,1000,5000,184,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Rash driving (repeat offence),10000,5000,10000,184,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Driving without registration,5000,2000,5000,192,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Overloading passengers,1000,1000,2000,194A,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Loud/illegal horn,1000,500,1000,190(2)/177,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Obstructing emergency vehicle,10000,10000,10000,194E,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Illegal automobile race (1st),5000,5000,5000,189,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Illegal automobile race (repeat),10000,10000,10000,189,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Minor driving (guardian liable),25000,25000,25000,199A,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Overloading of goods vehicle,20000,2000,20000,194(1),HMV/Truck,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,No reflector/light on vehicle,500,500,500,177,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Jayankondam,Not giving way to ambulance,10000,10000,10000,194E,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,No helmet,1000,1000,1000,129/177,Two-wheeler,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Signal jumping,1000,1000,1000,119/177,All vehicles,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Overspeeding (LMV),1000,1000,2000,183,LMV,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Overspeeding (MMV),2000,2000,2000,183,MMV,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Driving without licence,5000,5000,5000,181,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,No insurance,2000,2000,2000,196,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Drunk driving (1st offence),10000,10000,10000,185,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Drunk driving (repeat offence),15000,15000,15000,185,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,No seat belt,1000,1000,1000,194B,LMV,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Using mobile while driving (1st),1000,1000,1000,184,All vehicles,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Using mobile while driving (repeat),10000,10000,10000,184,All vehicles,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Wrong parking,500,500,1500,122/177,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Triple riding,1000,1000,1000,128/177,Two-wheeler,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,No PUC certificate,10000,1000,10000,190(2),All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Rash driving (1st offence),1000,1000,5000,184,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Rash driving (repeat offence),10000,5000,10000,184,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Driving without registration,5000,2000,5000,192,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Overloading passengers,1000,1000,2000,194A,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Loud/illegal horn,1000,500,1000,190(2)/177,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Obstructing emergency vehicle,10000,10000,10000,194E,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Illegal automobile race (1st),5000,5000,5000,189,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Illegal automobile race (repeat),10000,10000,10000,189,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Minor driving (guardian liable),25000,25000,25000,199A,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Overloading of goods vehicle,20000,2000,20000,194(1),HMV/Truck,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,No reflector/light on vehicle,500,500,500,177,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,T.Palur,Not giving way to ambulance,10000,10000,10000,194E,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Gangaikondacholapuram,No helmet,1000,1000,1000,129/177,Two-wheeler,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Gangaikondacholapuram,Signal jumping,1000,1000,1000,119/177,All vehicles,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Gangaikondacholapuram,Overspeeding (LMV),1000,1000,2000,183,LMV,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Gangaikondacholapuram,Overspeeding (MMV),2000,2000,2000,183,MMV,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Gangaikondacholapuram,Driving without licence,5000,5000,5000,181,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Gangaikondacholapuram,No insurance,2000,2000,2000,196,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Gangaikondacholapuram,Drunk driving (1st offence),10000,10000,10000,185,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Gangaikondacholapuram,Drunk driving (repeat offence),15000,15000,15000,185,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Gangaikondacholapuram,No seat belt,1000,1000,1000,194B,LMV,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Gangaikondacholapuram,Using mobile while driving (1st),1000,1000,1000,184,All vehicles,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Gangaikondacholapuram,Using mobile while driving (repeat),10000,10000,10000,184,All vehicles,AI camera + patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Gangaikondacholapuram,Wrong parking,500,500,1500,122/177,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Gangaikondacholapuram,Triple riding,1000,1000,1000,128/177,Two-wheeler,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Gangaikondacholapuram,No PUC certificate,10000,1000,10000,190(2),All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Gangaikondacholapuram,Rash driving (1st offence),1000,1000,5000,184,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Gangaikondacholapuram,Rash driving (repeat offence),10000,5000,10000,184,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Gangaikondacholapuram,Driving without registration,5000,2000,5000,192,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Gangaikondacholapuram,Overloading passengers,1000,1000,2000,194A,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
Tamil Nadu,Ariyalur,Gangaikondacholapuram,Loud/illegal horn,1000,500,1000,190(2)/177,All vehicles,Patrol,https://tnpolice.gov.in,official,2026-05-24
